food, stews,, potato,10, en,1
dwelling, buruk,, bad,10, ms,1
leisure, fuif,, feest,10, nl,1
leisure, fraternity house,, party,10, en,1
dwelling, place to prepare meals,, kitchen,10, en,1
dwelling, apartment building,, home,10, en,1
leisure, situation,, event,10, en,1
leisure, change mood,, music,10, en,1
food, boat,, food,10, en,1
leisure, see,, watch,10, en,1
dwelling, cleaning teeth in,, bathroom,10, en,1
leisure, mutant,, sport,10, en,1
mobility, wagen,, auto,10, nl,1
dwelling, rooms in attic,, house,10, en,1
food, sulk,, brood,10, en,1
dwelling, off,, bad,10, en,1
food, zoo,, food,10, en,1
leisure, fond,, fun,10, en,1
food, potatoe field,, potato,10, en,1
mobility, hangar,, plane,10, en,1
dwelling, relaxation,, bath,10, en,1
food, underground,, potato,10, en,1
food, vegetable stew,, potato,10, en,1
mobility, mass transportation,, bus,10, en,1
dwelling, garden,, garden,10, nl,1
dwelling, construction where people live,, house,10, en,1
mobility, ocean floor,, ship,10, en,1
food, een fiets,, eten,10, nl,1
leisure, theatre,, music,10, en,1
food, not bone,, meat,10, en,1
dwelling, showroom,, bathroom,10, en,1
leisure, form of universal language,, music,10, en,1
food, water,, fruit,10, en,1
food, nageslacht,, brood,10, nl,1
food, root,, potato,10, en,1
leisure, instruments,, music,10, en,1
food, eat,, eten,10, en,1
dwelling, vile,, bad,10, en,1
food, store,, bread,10, en,1
mobility, airplane hangar,, airplane,10, en,1
mobility, arrive on schedule,, train,10, en,1
food, andes,, potato,10, en,1
mobility, carry people,, bus,10, en,1
mobility, hogesnelheidstrein,, trein,10, nl,1
dwelling, face street,, house,10, en,1
leisure, see different things,, travel,10, en,1
dwelling, speculative,, bad,10, en,1
mobility, heavier than air displaces,, airplane,10, en,1
food, source of vitamin c,, fruit,10, en,1
leisure, like,, fun,10, en,1
dwelling, public building,, bathroom,10, en,1
leisure, get people together,, party,10, en,1
dwelling, improvement in health,, sleep,10, en,1
dwelling, slaap,, sleep,10, nl,1
leisure, recreation,, party,10, en,1
leisure, bath,, bath,10, en,1
food, meat or legume food,, meat,10, en,1
dwelling, sleep,, sleep,10, en,1
dwelling, bus,, bus,10, en,1
leisure, recreation area,, recreation,10, en,1
leisure, taxi,, taxi,10, en,1
leisure, recover energy or reduce stress,, relax,10, en,1
mobility, vervoermiddel,, bus,10, nl,1
leisure, leisure,, recreation,10, en,1
mobility, car park,, car,10, en,1
dwelling, when human body recharges,, sleep,10, en,1
food, chowder,, potato,10, en,1
mobility, vliegtuig,, vliegtuig,10, en,1
leisure, sounds,, music,10, en,1
dwelling, store sells kitchens,, kitchen,10, en,1
leisure, what listen to,, music,10, en,1
leisure, happening at moment,, event,10, en,1
dwelling, rotten,, bad,10, en,1
dwelling, often safer than outdoors,, house,10, en,1
leisure, form of sound,, music,10, en,1
mobility, wheeled vehicle,, car,10, en,1
food, roti,, bread,10, ms,1
leisure,youre curious about other places,, travel,10, en,1
